scenario,year,zone,CAR,ARTIC,RIGID,VAN,CAR_AV,ARTIC_AV,RIGID_AV,VAN_AV,TOTAL
02-HighlyConnected,2015,E07000179,3012651.65,133909.03,137600.38,729314.28,0.0,0.0,0.0,0.0,4013475.34
02-HighlyConnected,2015,E06000042,3213184.77,310925.45,154605.22,916754.17,0.0,0.0,0.0,0.0,4595469.61
02-HighlyConnected,2015,E07000154,1813951.15,55458.18,52513.94,339617.03,0.0,0.0,0.0,0.0,2261540.3
02-HighlyConnected,2015,E07000155,3352269.82,398226.3,180242.73,1028909.6,0.0,0.0,0.0,0.0,4959648.449999999
02-HighlyConnected,2015,E07000156,1147236.91,50749.84,41316.85,232692.65,0.0,0.0,0.0,0.0,1471996.25
02-HighlyConnected,2015,E07000150,327219.06,13739.09,15857.22,89231.31,0.0,0.0,0.0,0.0,446046.68000000005
02-HighlyConnected,2015,E07000151,3393143.13,499598.58,210553.58,1107914.26,0.0,0.0,0.0,0.0,5211209.55
02-HighlyConnected,2015,E07000152,1714945.34,169253.34,89471.67,493289.22,0.0,0.0,0.0,0.0,2466959.5700000003
02-HighlyConnected,2015,E07000153,1562071.35,176280.56,75254.56,427021.51,0.0,0.0,0.0,0.0,2240627.98
02-HighlyConnected,2015,E06000056,5045892.37,489347.79,273377.32,1620657.17,0.0,0.0,0.0,0.0,7429274.65
02-HighlyConnected,2015,E06000055,1890045.19,80139.22,71002.32,465115.15,0.0,0.0,0.0,0.0,2506301.88
02-HighlyConnected,2015,E07000242,1802504.04,36812.85,65370.69,491775.46,0.0,0.0,0.0,0.0,2396463.04
02-HighlyConnected,2015,E07000243,669999.91,10355.75,15263.54,141125.97,0.0,0.0,0.0,0.0,836745.17
02-HighlyConnected,2015,E07000240,3584051.44,323367.22,174649.24,887156.04,0.0,0.0,0.0,0.0,4969223.94
02-HighlyConnected,2015,E07000241,1666298.43,30461.74,52588.52,329721.13,0.0,0.0,0.0,0.0,2079069.8199999998
02-HighlyConnected,2015,E07000008,596865.91,27768.61,18827.05,153552.62,0.0,0.0,0.0,0.0,797014.19
02-HighlyConnected,2015,E07000009,1493962.84,133587.71,75595.03,429816.35,0.0,0.0,0.0,0.0,2132961.93
